Data from Electricity Supply Monitoring Initiative (ESMI) by Prayas (Energy Group), Pune India,,,,,,,
,,,,,,,,
DISCLAIMER,,,,,,,,
,,,,,,,,
Data downloaded from www.watchyourpower.org  and is subject to TERMS OF USE mentioned thereon. More details and explanation about the data can be found in FAQ section.(DDLV 1.8),,,,,,,,
,,,,,,,,
,,,,,,,,
, , , Summary Data,,,,,
Location_name,Hour,Normal Voltage,Low Voltage,High Voltage,No Supply,From date,To date,No Data
Gondur- Dhule,01-05-2020 00:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 01:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 02:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 03:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 04:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 05:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 06:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 07:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 08:00,58,0,0,2,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 09:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 10:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 11:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 12:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 13:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 14:00,53,0,0,7,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 15:00,47,0,0,13,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 16:00,0,0,0,60,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 17:00,0,0,0,60,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 18:00,12,0,0,48,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 19:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 20:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 21:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 22:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,01-05-2020 23:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 00:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 01:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 02:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 03:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 04:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 05:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 06:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 07:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 08:00,58,0,0,2,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 09:00,41,0,0,19,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 10:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 11:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 12:00,56,0,0,4,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 13:00,44,0,0,16,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 14:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 15:00,54,0,0,6,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 16:00,33,0,0,27,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 17:00,27,0,0,33,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 18:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 19:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 20:00,57,0,0,3,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 21:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 22:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,02-05-2020 23:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 00:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 01:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 02:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 03:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 04:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 05:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 06:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 07:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 08:00,58,0,0,2,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 09:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 10:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 11:00,60,0,0,0,01-05-2020,31-05-2020,0
Gondur- Dhule,03-05-2020 12:00,42,0,0,18,01-05-2020,31-05-2020,0
